,cust_id,age,acct_amount,inv_amount,account_opened,last_transaction
4,DE0A0882,21,99998.35,,05-06-17,15-01-19
14,E7389E60,22,86028.48,,04-06-17,07-08-18
17,D3287768,20,89961.77,,03-09-18,19-10-18
18,FA01676F,21,66947.3,,10-08-18,23-07-19
35,904A19DD,20,31981.36,,28-01-19,23-06-19
40,93E78DA3,22,41942.23,,09-10-17,15-04-18
46,3B240FEF,25,97856.46,,23-05-18,11-10-18
54,6B094617,21,89855.98,,06-02-18,14-02-19
59,56D310A8,21,88660.4,,25-02-18,29-07-18
82,078C654F,21,87312.64,,14-04-17,05-08-18
88,33CA2B76,23,75508.61,,16-11-17,03-03-19
93,4C7F8638,23,21942.37,,14-07-18,02-02-19
94,A81D31B3,24,74010.15,,02-06-18,12-09-18
